engine_temp,vibration_level,battery_voltage,engine_rpm,fuel_level,mileage,maintenance_needed
94,9,11,4609,45,6673,1
118,5,13,1858,28,189673,1
85,3,12,3305,80,149503,0
78,6,14,3911,13,37895,0
61,3,13,1880,32,28661,0
64,5,11,4277,84,85893,1
78,6,12,4103,44,47525,0
116,2,12,3982,44,104817,0
90,9,13,2808,11,170749,1
60,7,12,2372,92,163994,0
114,4,13,730,54,161519,1
111,7,11,3992,59,116792,1
84,1,14,4394,37,161377,1
62,4,14,3659,23,51599,0
85,1,13,4061,43,80005,0
102,7,13,3216,15,66507,0
69,4,11,4233,32,68739,0
93,1,14,3772,31,112140,0
96,2,14,4713,88,133281,0
98,4,14,1323,78,74396,0
85,6,13,2466,9,165364,0
62,3,11,2311,46,13358,0
86,1,12,4651,25,129961,0
77,4,12,2844,19,98612,0
66,3,14,4670,75,108172,0
77,7,13,4943,17,44245,0
75,8,11,2826,44,93661,0
107,9,14,4980,21,140785,1
67,5,13,3863,50,32273,0
92,1,12,2755,91,160872,0
118,7,12,2130,82,32287,0
64,6,13,4709,12,38973,0
65,6,13,3272,63,11642,0
69,3,13,2241,41,64177,0
64,2,13,1106,13,42106,0
60,4,14,4570,85,29128,0
70,6,13,1206,52,120484,0
64,1,13,1467,95,45386,0
68,7,13,3522,63,172540,0
78,8,11,4473,5,186718,1
68,7,11,2364,10,34517,0
103,3,12,4024,82,158518,1
119,6,14,4124,46,70734,1
93,1,14,1505,40,68515,0
72,1,14,713,68,62100,0
112,4,13,1570,67,18179,0
96,6,11,4945,33,124388,1
77,5,11,1507,88,196875,0
77,2,11,3639,58,105574,0
91,3,11,1259,10,77183,1
75,7,14,3246,22,179554,0
104,2,12,4327,13,165409,1
81,9,11,4007,61,158386,1
74,9,11,1542,93,65806,1
108,3,13,2176,9,185591,1
63,9,14,867,12,55799,1
79,6,12,3591,47,161160,0
69,5,11,1419,72,23089,0
114,4,12,2961,43,182323,0
91,6,13,3829,76,161450,0
109,6,13,845,12,115073,1
69,9,13,1069,97,98705,0
65,1,13,4574,60,125112,0
71,5,13,3574,31,67229,0
62,9,13,1308,79,36086,0
81,9,14,1686,41,19751,0
70,3,14,938,42,59794,0
81,8,11,710,23,116938,0
114,2,13,4261,34,94597,1
111,2,13,4780,86,97685,0
74,1,12,2748,48,143354,0
69,8,13,1920,98,14380,0
70,9,13,4741,62,13864,1
73,5,14,701,23,129350,0
62,9,13,2171,45,176554,1
81,7,13,3898,99,114079,0
69,7,14,918,69,171913,0
104,2,12,3269,85,64963,0
76,8,12,3634,61,168288,0
76,3,13,4276,45,184806,0
119,8,11,1730,79,97862,1
105,9,11,4505,47,105408,1
103,1,11,4855,14,186537,1
117,7,11,4433,5,137990,1
102,5,12,2327,83,15105,0
105,8,11,4042,43,140024,1
113,1,14,2261,36,140157,0
64,6,12,2309,68,24592,0
71,2,12,4999,58,183321,1
64,3,13,4835,78,163675,1
89,8,12,3105,9,63805,1
71,3,14,4344,75,11616,0
99,6,14,3570,48,26056,0
62,5,13,4565,41,66505,0
68,8,13,3549,98,26209,0
75,4,12,999,28,137441,0
64,1,14,4982,73,153702,0
78,4,14,1304,65,78284,0
106,9,11,4993,45,9669,1
116,2,12,1231,75,110057,0
103,2,13,4617,41,154062,1
112,9,11,2600,18,131186,1
65,3,11,2676,90,177437,1
61,3,12,4234,43,194682,0
91,3,11,4124,68,91195,1
99,6,14,3742,73,95785,0
101,4,12,2200,33,116587,0
60,5,14,2508,36,86974,0
70,4,13,2359,97,144504,0
63,9,11,2597,50,116489,1
108,6,13,1688,83,186366,0
98,4,14,3612,27,181530,1
64,5,14,1294,6,176768,0
83,7,12,2695,31,134288,0
113,1,14,3842,41,139403,0
96,7,11,4584,66,139810,1
68,6,13,3478,64,71685,0
64,6,13,3997,32,28308,0
